date,High,Low,Open,Close,Marketcap,Close_7days,daily_avg_polarity,bitcoin
2021-04-07,58731.14290107,55604.02359245,58186.50853398,56048.93781271,1046793054752.58,58305.96318062,0.06299348796618573,50
2021-04-08,58338.73822544,55879.08419515,56099.91311078,58323.95357975,1089334328138.76,58195.69826657571,0.02817895693460869,38
2021-04-09,58937.04651601,57807.86384217,58326.56361984,58245.00300108,1087911057869.8,58032.93964407285,0.05815618215174318,24
2021-04-10,61276.66536564,58038.70627787,58253.77680886,59793.23541009,1116889802872.23,58345.70339212,0.12038146859753998,45
2021-04-11,60790.55531507,59289.79563078,59846.23078558,60204.96491379,1124635848775.45,58552.33319533714,0.06632685852325573,48
2021-04-12,61253.0369158,59589.87375623,60175.94475711,59893.45188869,1118871072068.9,58671.70075573856,0.06632685852325573,34
2021-04-13,63742.28333718,59869.95629306,59890.01779033,63503.45793019,1186364044140.27,59430.42921947142,0.06632685852325573,75
2021-04-14,64863.09890770001,61554.79669042,63523.75486927,63109.69593464,1179061093980.42,60439.10895117571,0.06632685852325573,72
2021-04-15,63821.67219266,62208.96436559,63075.19622093,63314.01084504,1182945492744.41,61151.97427478857,0.03190363297378805,59
2021-04-16,63594.72091303,60222.53207871,63258.50517438,61572.78960116,1150457156739.61,61627.37236051428,0.06136195935470669,47
2021-04-17,62572.17605057,60361.35217909,61529.92099734,60683.82123331,1133882479236.77,61754.59890668856,0.07415825750364316,36
2021-04-18,61057.45650886,52829.53592647,60701.88609331,56216.18500243,1050445401609.72,61184.7732050657,0.06509932234623957,51
2021-04-19,57520.05477733,54368.59365509,56191.5841095,55724.26709807,1041287672153.73,60589.175377834275,0.11654966989520021,58
2021-04-20,57062.1502465,53448.04838457,55681.79251074,56473.03228080001,1055323526514.09,59584.82885649284,0.0859897645154088,45
2021-04-21,56757.97158884,53695.4703347,56471.12771923,53906.08804584,1007389534360.43,58270.027729521404,0.048537112933362915,43
2021-04-22,55410.22866494,50583.81405608,53857.10689483,51762.27205146,967372472375.28,56619.77933043855,0.07970656372082395,40
2021-04-23,52120.79164545,47714.66215249,51739.80692966,51093.65070999,954919230091.93,55122.75948884284,0.09176393764742491,61
2021-04-24,51167.56335742,48805.2846976,51143.22627463,50050.86821565,935471648213.36,53603.76620060571,0.05926487897023611,21
2021-04-25,50506.01909839,47159.48584083,50052.83164893,49004.25326318,915955943256.31,52573.4902378557,0.0781905615238224,18
2021-04-26,54288.00215537,48852.79684295,49077.79236302,54021.75478737,1009780042661.05,52330.27419346998,0.10523339962706847,61
2021-04-27,55416.96405761,53319.18665411,54030.30371848,55033.11801332,1028733359592.48,52124.57215525856,0.12027908420944139,45
2021-04-28,56227.20564809,53887.91781682,55036.63741947,54824.70489507,1024888208734.36,52255.803133719994,0.08326344361540068,58
2021-04-29,55115.84415438,52418.02844504,54858.09149222,53555.10849133,1001193634071.78,52511.92262512999,0.06709113243839165,27
2021-04-30,57900.71998842,53129.6008774,53568.66358369,57750.17734563,1079669884319.7,53462.855001649994,0.07525986652236652,32
2021-05-01,58448.33881062,57052.2741756,57714.66485835,57828.05063222,1081174515342.54,54573.88106115999,0.08345248588030846,42
2021-05-02,57902.59217082,56141.90651506,57825.86281955,56631.07741255,1058862005057.49,55663.42736821284,0.03723874503968254,18
2021-05-03,58973.30843091,56590.86914497,56620.27262011,57200.29122289,1069563935453.09,56117.504001858564,0.045880892209588776,34
2021-05-04,57214.17876121,53191.42503284,57214.17876121,53333.53775274,997324142593.09,55874.7068217757,0.10020424300727332,26
2021-05-05,57911.36359718,52969.05536281,53252.16476125,57424.00594813,1073873012866.68,56246.03554364141,0.09058356875808177,29
2021-05-06,58363.3146181,55382.50610418,57441.30708417,56396.51416376,1054714918674.96,56651.95063970284,0.07106988640444524,51
2021-05-07,58606.63396719,55321.84671038,56413.95355125,57356.40187692,1072727435210.46,56595.6970013157,0.0563254670148692,19
2021-05-08,59464.61249257,56975.21065264,57352.7659529,58803.77580865,1099863941004.24,56735.08631223427,0.038149744468494465,24
2021-05-09,59210.88178942,56482.00354511,58877.3886984,58232.3161419,1089244557675.56,56963.834702141416,0.03714689472674032,31
2021-05-10,59519.35442559,54071.45537889,58250.87253094,55859.79754454,1044927337817.5,56772.33560523427,0.09592955120035714,28
2021-05-11,56872.54492059,54608.65245902,55847.24104211,56704.57305850001,1060790877191.62,57253.9120774857,0.06851023809193454,29
2021-05-12,57939.36241484,49150.53387514,56714.53316738,49150.53387514,919527847949.71,56071.98749562999,0.10484432955232488,32
2021-05-13,51330.84358607,46980.01875184,49735.43206467,49716.19160254,930161010060.1,55117.65570116999,0.0871230486685032,62
2021-05-14,51438.11908462,48868.57828576,49682.9818555,49880.53342038,933276901264.97,54049.67449309285,0.047856233096238154,29
2021-05-15,50639.66532796,46664.141871,49855.49465011,46760.18656071,874931019742.08,52329.16174338713,0.043304783225547,21
2021-05-16,49720.04462248,43963.35018635,46716.63798759,46456.05847448,869279076502.07,50646.839219469985,0.06291317314457223,30
2021-05-17,46623.55822816,42207.28810587,46415.89925412,43537.51138918,814701646509.05,48886.51262584713,0.08332514630062478,64
2021-05-18,45812.45840792,42367.83145309,43488.05798819,42909.40092517,802974346862.95,46915.77374965713,0.02409431102957888,51
2021-05-19,43546.1164845,30681.49691178,42944.97544731,37002.440465900014,692452570146.78,45180.33183405141,0.015515129493522349,69
2021-05-20,42462.98498552,35050.61582451,36753.66970802,40782.73826245,763195929021.93,43904.12421403855,0.028808895775941222,100
2021-05-21,42172.17361572,33616.45388421,40596.94832252,37304.69067136,698108789816.73,42107.57524989284,0.03677089293115628,47
2021-05-22,38831.05443914,35383.68375136,37371.02990629,37536.63111241,702449253648.34,40789.92447156426,0.056620993372096334,39
2021-05-23,38289.21812026,31227.33943257,37531.4484526,34770.58362292,650686270744.28,39120.57092134141,0.06979861536148355,40
2021-05-24,39835.13982978,34551.08054976,34700.363568,38705.97863723,724332072423.59,38430.35195677712,0.08006904946091759,55
2021-05-25,39776.34979796,36581.42891576,38795.7802497,38402.22385137,718829377408.47,37786.46951766284,0.0316128391053391,59
2021-05-26,40782.07818311,37905.83485360001,38392.62365582,39294.19738214,735556411166.13,38113.86336283998,0.024237150845186566,43
2021-05-27,40379.61767161,37247.90367644,39316.88967818,38436.96853505,719538129127.79,37778.75340178283,0.07594285675243465,49
2021-05-28,38856.96788502,34779.0394272,38507.08307537,35697.60639024,668283930066.56,37549.1699330514,0.05504443952512135,45
2021-05-29,37234.49847965,33693.92945797,35684.1568817,34616.06800347,648061013207.76,37131.94663177426,0.013962685925185923,22
2021-05-30,36400.66888165,33520.73795924,34607.40597914,35678.12920411,667976638398.15,37261.596000515696,0.0772511298075849,28
2021-05-31,37468.24899082,34241.94356094,35658.59295707,37332.85368874,698990486184.97,37065.435293588554,0.01514327244184387,47
2021-06-01,37896.73619262,35787.08596532,37293.79237447,36684.92451667,686891021224.93,36820.10681720284,0.06088393638988876,32
2021-06-02,38231.3391761,35966.30715642,36699.92291982,37575.17957566,703599671425.41,36574.53284484855,0.08677728113748195,40
2021-06-03,39478.95118167,37243.97372784,37599.40994043,39208.76599489,734224332239.42,36684.789624825695,0.0590102190107872,36
2021-06-04,39242.48626197,35717.72230304,39242.48626197,36894.40532994,690915072092.8,36855.76090192569,0.08470319297226465,25
2021-06-05,37917.71414924,34900.41223702,36880.15597053,35551.95872588,665804639832.8,36989.45957655569,0.10022663711949426,18
2021-06-06,36436.42096405,35304.58007817,35538.60872998,35862.37772747,671652557855.14,37015.78079417854,0.1300829076479076,25
2021-06-07,36790.57215572,33480.64124099,35835.26550975,33560.70783776,628572961758.53,36476.90281546711,0.054510186278368115,32
2021-06-08,34017.38797859,31114.44247046,33589.52085635,33472.63174808,626954944878.53,36018.00384852569,0.062141599444526754,43
2021-06-09,37537.37115028,32475.86603066,33416.97785088,37345.12148619,699516138697.97,35985.13840717283,0.03369173108637393,62
2021-06-10,38334.32544308,35847.5936407,37389.51565087,36702.59937466,687509421226.28,35627.114604282826,0.07398123512490394,51
