,tweet_id,text,retweet_count,favourite_count,followers_count,manual_sentiment
0,1428502246019457026,"@Cointelegraph @samuel_haig $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/vcEYMDvMMB",0,0,14,
1,1428502245079883777,"VeryBullish Indicator on #Bitcoin 

Chainalysis Global #Crypto Adoption Index 

$BTC #BTC #XRP #ETH #BCH #LTC #ADA #ZEC #BAT #XVG #BTT #TRX #LOOM #PUNDIX #ETN #BNB  #POWR #ARK #OMG #DCN #PAC #TEL #DOT #SHIB #SOL #AXS #XMR #XDN #DOGE #AAVE #ICP #EOS #ETC

 https://t.co/aEGWbrtlpt",0,0,704,
2,1428502200599388167,"@DJ_CRYPTO1 @ladycryptonic $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/9xN5RkM4Lr",0,0,14,
3,1428502128989966345,"🐋🐋🐋
800 #BTC (27.979.220 USD) will be transfered from unknown wallet to #cryptocom 

https://t.co/pDVReYZw2D
#bitcoin",0,0,410,
4,1428502125668147204,"@RodrigoHeralz @gamesafetoken $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/CN7Lu7NC6c",0,0,14,
5,1428502079115612164,"@JGNDeFi @BinanceChain @cz_binance $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/zp0YBe9JM0",0,0,14,
6,1428502040192376835,"@CommunityFlare $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/Q4DTrzXkxb",0,0,14,
7,1428502002615652353,"Soon #xvg hits it's halvening block, who knows what may happen... #verge #xvg #vergefsm #btc https://t.co/BAB9NErB7t",0,1,711,
8,1428501914514305025,"@CredibleCrypto $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/rt4aLAShX5",0,0,14,
9,1428501848554622985,"@CoinMarketCap $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/oa1sGioggz",0,0,14,
10,1428501802429865988,#Coinbase #BTC #COIN Bitcoin Daily: Coinbase Makes Japan Debut https://t.co/53ByWd7U0k,0,0,509,
11,1428501791830913024,"@CoinMarketCap #Elon is playing #pump and #dump game for his benefits... without #pump in father #BTC , don't imagine that #Doge will cross $0.50 never ever n u know better, how much u shout #doge will never pumb until Btc  pumps up this is harsh reality....DM @cryptysultan if u wish to benefit",0,0,1,
12,1428501789062672386,"@ashwsbreal $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/OBe0C7CmlP",0,0,14,
13,1428501748415619075,"@CryptoKaleo $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/PjtD3RKwjK",0,0,14,
14,1428501726773059585,"500 USDT to one lucky member who likes and retweets.
Join us to be Keplers.🚀🚀
$80 worth of #SDS #Airdrop token to each member.
⬇️How to participate?⬇️
➡️https://t.co/egcFJOPNrH
✅like and retweet
✅leave your BEP20 address
#BTC  #ETH #KeplerSwap #SDS #Airdrops #Airdrop 
#DeFi https://t.co/Doyxx86Aop",0,1,3,
15,1428501709580554243,"#btc Bloomberg - Are you a robot? https://t.co/0v808tOL9h, see more https://t.co/hNQ8TFLvaA",0,0,653,
16,1428501698578993152,"@TheCryptoDog $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/xaqgYydujc",0,0,14,
17,1428501676261089282,"Ha, still so early.  #BTC https://t.co/tRgUuy0kD3",0,0,51,
18,1428501637027569664,But this wasn't forged with an explosion from the stars.  It's not gold.  It's just old.  #btc #eth,0,0,19,
19,1428501632296398850,"#Zcrypto|#Zcrypto by #BTC UPDATE #btc is consolidating in region of 40k/48k and as long as it remains above 40K, it will be bullish. we just need to remain with patience to wait for when #BTC Breaks above 50K and close above on daily basis. Then its going to rally to our new…",0,0,246,
20,1428501520438398983,https://t.co/PLINoRsGVp On-Chain #Bitcoin Volume At Five-Year Low https://t.co/935mQ7ioEV #eth #btc #blockchain,0,0,77299,
21,1428501500725276677,"@klever_io $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/MgBpO4ohcB",0,0,14,
22,1428501493737345027,@ThePivotKing Kenison Counting Numbers #trading rules projected a bottom for the $VIX in a 3-day reversal zone centered on August 16.  This #investing #news warning is important for the $SPX #BTC #USD #Crypto #Commodities #Energy #Metals #Forex #Markets and #OptionsTrading.,0,0,473,
23,1428501483415216133,@Snowden Bitcoin #BTC is the standard. I would like a couple new outfits though. ty,0,0,0,
24,1428501477727907840,https://t.co/aKCVGc5yqi Coinbase creates support phone line for account takeovers https://t.co/IX7UCsZGVA #airdrop #xrp #btc,1,1,77299,
25,1428501424321835014,"@WarrenBuff2 $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/oaiYQjziii",0,0,14,
26,1428501409301995520,"https://t.co/FdstaLtNgV a new generation of crypto exchange coming, presale soon! #cryptocurrency #BNB #BTC #BSCGems #BinanceSmartChain #Crypto https://t.co/DlEzqs82WJ",0,0,2247,
27,1428501387839692803,SNX_Synthetix    |CRYPTO |THE RISING MARKET___   #CURRENCY   #ADA   #BCH   #TV   #FIL   #ICX   #ETH   #BTC   #RUB   #CORE      72,0,0,2,
28,1428501383939076096,"@Al_ju_or $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/6MNQctjfO7",0,0,14,
29,1428501348803354632,The current price of #BTC is $46620.45 in USD,0,0,330,
30,1428501337147326465,"@cryptocom $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/dg0QAx4XiW",0,0,14,
31,1428501306180702209,"#Btc Struggles Below Critical 200MA as Global #Markets Risk Off: Where Is Next Support? (#Bitcoin Price Analysis) #Cryptocurrency #Finance #Forex #Money

Read: https://t.co/avqwuD61k0 https://t.co/6dKXQSmASi",0,1,1465,
32,1428501297771290624,"@binance @cz_binance $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/0vvxrRoHha",0,0,14,
33,1428501204750028813,"@Eley_Samurai @WolfofCryptoBLV @InfinityTokenIO @elonmusk $GGG #AMA will be held this Friday at 3pm UTC you can win 5000 $GGG in the live stream!

👇👇👇👇👇👇👇
https://t.co/Bbbbdp3VjY

#BNB   #Binance                             #BTC   #BSCGems #SHIB #doge #Ethereum #WSG #ARGON 
#XRP #BSC @GGG_invest https://t.co/aLSSnw4cMZ",0,1,14,
34,1428501196113793025,"#BTC Derivs Sheet (Tweet every 15 min.)
CME Delayed (10 min)
GS Delayed (15 min) and OI = SHARES OUT https://t.co/qK3qoODLqU",1,2,30873,
35,1428501190854250504,"$BTC support at 44k held 💪 

Send it higher. 

#BTC #Bitcoin #cryptocurrency https://t.co/j1ZjbFZoH8",0,3,1770,
36,1428501189734244359,"🎉 @devlk2 you've received a TIP for 1,000 #BTC Sats via ⚡

To instantly redeem your 1,000 Sats from @esiattorney:

1. Open your lightning wallet &amp; screenshot your lightning QR code image.

2. Tweet your Lightning QR Code image below ⬇️ 

*Valid for 24H https://t.co/h8zpUqdcah",0,1,1114,
