tweet_id,text,retweet_count,favourite_count,followers_count,processed_text,polarity,sentiment
1.4277587851546706e+18,Cryptocurrencies are tickling Trains in the forest #ETH #BTC #cryptotrading #crypto #elonmusk #Doge #XRP #USDT #DOT #USDC #ICP #cryptocrash,0.0,0.0,27.0,cryptocurr tickl train forest eth btc cryptotrad crypto elonmusk doge xrp usdt dot usdc icp cryptocrash,0.0,Neutral
1.42775872410667e+18,"@CornDeFi Great project 
#del
@del
@CornDeFi #YieldFarming #Airdrop #Giveaway #PancakeSwap #BTC #Binance #BNB #BSC",0.0,0.0,16.0,corndefi great project del del corndefi yieldfarm airdrop giveaway pancakeswap btc binanc bnb bsc,0.8,Positive
1.427758705966211e+18,"@culkin22 #Bitcoin                    

I feel like bulls are still in control here. I'm holding swing and scalp longs targeting 60k+.

Following @YowSoNizze tweets, prediction and tips, I’ve learnt a lot and I don’t mind investing 90% of my income in #btc                   

Follow Her",0.0,0.0,43.0,culkin22 bitcoin feel like bull still control hold swing scalp long target 60k follow yowsonizz tweet predict tip learnt lot mind invest 90 incom btc follow,-0.05,Negative
1.427758703646761e+18,"@husainhaqqani Doubt that #Taliban would need those USDs when there is #BTC, #ETH, and loads of other #Cryptocurency. 

Sir, shift the focus to #China &amp; #Russia like the rest of #USA",0.0,0.0,8.0,husainhaqqani doubt taliban would need usd btc eth load cryptocur sir shift focus china amp russia like rest usa,0.0,Neutral
1.427758496087425e+18,"I will https://t.co/9Jgbzdxfhb

#altcoin #binance #BTC #cryptocurrency #DeFi #BabyDogecoin #dogearmy #dogecoin #Ethereum #EthereumMax  #EverRise #kishu #KishuArmy #safemoon #NFT #NFTCommunity #opensea #rarible #hicetnunc #MillionToken #EtherRock #cryptopunks https://t.co/zBLxptENNK https://t.co/nBzQjoUhhl",1.0,2.0,233.0,http co 9jgbzdxfhb altcoin binanc btc cryptocurr defi babydogecoin dogearmi dogecoin ethereum ethereummax everris kishu kishuarmi safemoon nft nftcommun opensea raribl hicetnunc milliontoken etherrock cryptopunk http co zblxptennk http co nbzqjouhhl,0.0,Neutral
1.4277584745874227e+18,Support and go #BTC https://t.co/Baj1dhKzSH,0.0,0.0,175.0,support go btc http co baj1dhkzsh,0.0,Neutral
1.4277583808027894e+18,"She will hold. 

#Bitcoin #BTC $BTC",0.0,0.0,98.0,hold bitcoin btc btc,0.0,Neutral
1.4277582336540262e+18,no trade: #BTC price is 32493 at time 08/17/21 - 23:24:23,0.0,0.0,1520.0,trade btc price 32493 time 08 17 21 23 24 23,0.0,Neutral
1.4277582229879112e+18,"Creamcoin Marketing – monthly services, CRM accepted
https://t.co/sCZjQOgs2q

#creamcoin #bitcoin #banner #marketing #pay #crm #exchange #btc #cryptocurrency",1.0,0.0,9174.0,creamcoin market month servic crm accept http co sczjqogs2q creamcoin bitcoin banner market pay crm exchang btc cryptocurr,0.0,Neutral
1.427758183980929e+18,"🔴 321.4,178 #BTC ($14,376,678) transferred from Unknown Wallet to Unknown Wallet  

 TX: https://t.co/JjEdCynqX6 

 #Blockchain #BTC",0.0,0.0,159.0,321 4 178 btc 14 376 678 transfer unknown wallet unknown wallet tx http co jjedcynqx6 blockchain btc,-0.1,Negative
1.4277581525194056e+18,"Have you tried Shakepay? Sign up with my link and we'll each get $10 to buy crypto:
https://t.co/JjA1r3tJVP #eth #btc #bitcoin #tothemoon",0.0,0.0,129.0,tri shakepay sign link get 10 buy crypto http co jja1r3tjvp eth btc bitcoin tothemoon,0.0,Neutral
1.4277581511478682e+18,"@cryptot81124402 #Bitcoin                    

I feel like bulls are still in control here. I'm holding swing and scalp longs targeting 60k+.

Following @YowSoNizze tweets, prediction and tips, I’ve learnt a lot and I don’t mind investing 90% of my income in #btc                   

Follow Her",0.0,0.0,43.0,cryptot81124402 bitcoin feel like bull still control hold swing scalp long target 60k follow yowsonizz tweet predict tip learnt lot mind invest 90 incom btc follow,-0.05,Negative
1.427758075700646e+18,This will be the future one day for a free society #BTC https://t.co/XPs0PbSkDX,0.0,0.0,208.0,futur one day free societi btc http co xps0pbskdx,0.4,Positive
1.427758038958502e+18,"⬆️⬆️ $BTC BUYING PRESSURE ALERT 📈 Price trading around 44601
          🎵 powered by https://t.co/PXPhJJ4xqa 🗣️ #Bitcoin #crypto #BTC",0.0,0.0,2781.0,btc buy pressur alert price trade around 44601 power http co pxphjj4xqa bitcoin crypto btc,0.0,Neutral
1.427758038543487e+18,#BTC is now at $44635.99,0.0,0.0,7.0,btc 44635 99,0.0,Neutral
1.4277579072281027e+18,"🐋
321 #BTC (11.241.274 USD) will be transfered from unknown wallet to unknown address (never used before)

https://t.co/F52PJZv2HH
#bitcoin",0.0,0.0,403.0,321 btc 11 241 274 usd transfer unknown wallet unknown address never use http co f52pjzv2hh bitcoin,-0.1,Negative
1.4277578843901379e+18,"Update Pullback needed, Tons of support… The channels are Good #btcstarburst #Ethereum #Chainlink #vechain #BNB  #vgx #xrp #Crypto #cryptocurrecy #cryptotrading #CryptoNews #Coinbase #ADA #AltCoinSeason DCA Safely!! #BTC  always goes up!! https://t.co/qf8yuHUM6o",0.0,0.0,57.0,updat pullback need ton support channel good btcstarburst ethereum chainlink vechain bnb vgx xrp crypto cryptocurreci cryptotrad cryptonew coinbas ada altcoinseason dca safe btc alway go http co qf8yuhum6o,0.6,Positive
1.4277578820371128e+18,"@pepeinuu This silence will follow a loud scream :) 
#altcoin #binance #BTC #cryptocurrency #DeFi #BabyDogecoin #dogearmy #dogecoin #Ethereum #EthereumMax  #EverRise #kishu #KishuArmy #safemoon #NFT #NFTCommunity #opensea #rarible #hicetnunc #MillionToken #EtherRock #cryptopunks https://t.co/xqsIBwbScM",0.0,3.0,233.0,pepeinuu silenc follow loud scream altcoin binanc btc cryptocurr defi babydogecoin dogearmi dogecoin ethereum ethereummax everris kishu kishuarmi safemoon nft nftcommun opensea raribl hicetnunc milliontoken etherrock cryptopunk http co xqsibwbscm,0.1,Positive
1.4277578456851825e+18,"#Smartkey with #Orange hmm that's might by huge partnership as well? What do you think ? And yeah, they are just about to announce road map rof 2021.
#skey same same like #Vra so much undervalued.#altcoinseason2021 #blockchain #Cryptomaniac #Cryptoholic #btc #blockchain #crypto https://t.co/DPWhv2NIlD",0.0,0.0,18.0,smartkey orang hmm might huge partnership well think yeah announc road map rof 2021 skey like vra much undervalu altcoinseason2021 blockchain cryptomaniac cryptohol btc blockchain crypto http co dpwhv2nild,0.30000000000000004,Positive
1.4277578019931218e+18,$BTC just random looking at #btc  weekly chart.. would be very bullish price comeback &amp; retested lows again😝😂 but it would make a nice double bottom and most MA’s could catch up.. so we can move higher again may not happen just an idea.. Crypto All Day.. #bitcoin https://t.co/MmdQE9Lo3t,0.0,0.0,195.0,btc random look btc week chart would bullish price comeback amp retest low would make nice doubl bottom could catch move higher may happen idea crypto day bitcoin http co mmdqe9lo3t,0.0875,Positive
1.4277577551510405e+18,New hourly candle. #btc #bnb #cryoto #Solana https://t.co/sXMxwmtA8S,0.0,0.0,35.0,new hour candl btc bnb cryoto solana http co sxmxwmta8,0.13636363636363635,Positive
1.4277576965147238e+18,"Saitama Inu Explained: The INSANE #Crypto Outperforming #BTC, #ETH &amp; #Dogecoin  MUST WATCH ✅✅  https://t.co/cyyCreY5Tw via @YouTube
#ada #Solana  #shib #Doge #nano #holo #altcoins #HODL #buy #saita #SaitamaInuWolfPack",0.0,1.0,386.0,saitama inu explain insan crypto outperform btc eth amp dogecoin must watch http co cyycrey5tw via youtub ada solana shib doge nano holo altcoin hodl buy saita saitamainuwolfpack,0.0,Neutral
1.4277576294477537e+18,"Crypto Exchange https://t.co/ZAoEy12S5Q Hires Former Financial Regulator – Exchanges
#CryptoNews #Bitcoin #BTC #ETC #Crypto
https://t.co/lmYN3Q0lL6",0.0,0.0,10.0,crypto exchang http co zaoey12s5q hire former financi regul exchang cryptonew bitcoin btc etc crypto http co lmyn3q0ll6,0.0,Neutral
1.4277575996177818e+18,"This is huge. @VitalikButerin, founder of #Ethereum, is now on the Advisory Board of the Dogecoin Foundation. 

#DogecoinToTheMoon
#dogearmy
#doge $ETH #dogecoin #btc https://t.co/t0EDO6D21v",1.0,2.0,1100.0,huge vitalikbuterin founder ethereum advisori board dogecoin foundat dogecointothemoon dogearmi doge eth dogecoin btc http co t0edo6d21v,0.4000000000000001,Positive
