date,bitcoin,crypto,ethereum,cardano,dogecoin,isPartial
2021-04-07,50,16,3,3,3,False
2021-04-08,38,16,8,0,0,False
2021-04-09,24,16,5,0,3,False
2021-04-10,45,18,3,0,0,False
2021-04-11,48,15,9,0,6,False
2021-04-12,34,18,11,0,8,False
2021-04-13,75,29,19,0,3,False
2021-04-14,72,45,13,3,26,False
2021-04-15,59,24,11,5,8,False
2021-04-16,47,25,8,3,41,False
2021-04-17,36,15,15,0,21,False
2021-04-18,51,21,3,3,12,False
2021-04-19,58,18,8,0,11,False
2021-04-20,45,34,8,3,18,False
2021-04-21,43,27,0,0,11,False
2021-04-22,40,21,5,0,5,False
2021-04-23,61,22,3,0,14,False
2021-04-24,21,12,0,0,3,False
2021-04-25,18,27,3,0,3,False
2021-04-26,61,11,5,0,3,False
2021-04-27,45,21,13,0,0,False
2021-04-28,58,21,11,0,18,False
2021-04-29,27,32,3,0,8,False
2021-04-30,32,11,3,0,0,False
2021-05-01,42,33,6,0,12,False
2021-05-02,18,21,6,6,0,False
2021-05-03,34,21,11,0,3,False
2021-05-04,26,23,5,3,23,False
2021-05-05,29,26,8,3,37,False
2021-05-06,51,21,3,0,13,False
2021-05-07,19,19,11,8,25,False
2021-05-08,24,24,9,3,24,False
2021-05-09,31,46,6,3,15,False
2021-05-10,28,30,6,3,14,False
2021-05-11,29,55,16,0,21,False
2021-05-12,32,40,8,0,37,False
2021-05-13,62,20,20,3,14,False
2021-05-14,29,14,3,0,20,False
2021-05-15,21,21,9,9,18,False
2021-05-16,30,3,9,3,3,False
2021-05-17,64,13,5,0,3,False
2021-05-18,51,19,5,11,5,False
2021-05-19,69,21,16,3,8,False
2021-05-20,100,38,11,3,5,False
2021-05-21,47,19,6,0,3,False
2021-05-22,39,3,0,6,3,False
2021-05-23,40,9,9,0,12,False
2021-05-24,55,41,0,3,11,False
2021-05-25,59,24,11,3,8,False
2021-05-26,43,19,13,0,5,False
2021-05-27,49,14,5,3,5,False
2021-05-28,45,11,6,0,6,False
2021-05-29,22,12,0,3,3,False
2021-05-30,28,12,3,0,0,False
2021-05-31,47,22,5,0,3,False
2021-06-01,32,16,3,3,3,False
2021-06-02,40,16,11,0,3,False
2021-06-03,36,8,3,0,0,False
2021-06-04,25,8,0,3,0,False
2021-06-05,18,18,6,0,3,False
2021-06-06,25,12,3,0,3,False
2021-06-07,32,13,11,3,3,False
2021-06-08,43,11,0,0,0,False
2021-06-09,62,27,11,0,3,False
2021-06-10,51,8,3,0,0,False
2021-06-11,39,8,0,0,6,False
2021-06-12,27,12,3,0,0,False
2021-06-13,15,6,0,0,3,False
2021-06-14,35,29,8,3,8,False
2021-06-15,48,3,11,0,0,False
2021-06-16,40,19,5,0,3,False
2021-06-17,19,11,5,0,0,False
2021-06-18,31,11,3,0,6,False
2021-06-19,15,3,12,0,6,False
2021-06-20,25,18,6,0,0,False
2021-06-21,46,13,0,3,3,False
2021-06-22,43,8,5,0,3,False
2021-06-23,38,8,3,0,5,False
2021-06-24,34,6,6,0,0,False
2021-06-25,28,8,0,0,3,False
2021-06-26,22,6,6,0,3,False
2021-06-27,12,18,0,3,3,False
2021-06-28,33,3,5,0,0,False
2021-06-29,51,5,14,0,3,False
2021-06-30,33,11,8,3,6,False
2021-07-01,38,8,5,3,0,False
2021-07-02,40,3,14,3,0,False
2021-07-03,31,9,9,3,0,False
2021-07-04,22,13,6,3,3,False
2021-07-05,17,3,3,0,3,False
2021-07-06,36,14,5,0,3,False
