date,bitcoin,crypto,ethereum,cardano,dogecoin,isPartial
2016-08-28,2,1,0,0,0,False
2016-09-04,3,0,0,1,1,False
2016-09-11,0,1,0,1,0,False
2016-09-18,1,0,1,0,0,False
2016-09-25,4,1,1,0,0,False
2016-10-02,1,0,0,1,0,False
2016-10-09,1,1,1,0,0,False
2016-10-16,4,0,0,0,0,False
2016-10-23,5,1,0,0,1,False
2016-10-30,3,1,0,0,0,False
2016-11-06,5,0,2,0,0,False
2016-11-13,2,1,0,0,0,False
2016-11-20,2,0,0,0,0,False
2016-11-27,2,0,0,0,0,False
2016-12-04,3,0,1,0,0,False
2016-12-11,1,0,0,0,0,False
2016-12-18,4,0,0,0,0,False
2016-12-25,3,0,0,0,0,False
2017-01-01,5,0,0,0,0,False
2017-01-08,3,1,1,0,0,False
2017-01-15,2,0,0,0,1,False
2017-01-22,5,0,1,0,0,False
2017-01-29,3,1,0,0,1,False
2017-02-05,2,0,1,0,0,False
2017-02-12,4,0,0,0,0,False
2017-02-19,4,0,0,0,0,False
2017-02-26,6,0,1,0,0,False
2017-03-05,7,0,1,1,1,False
2017-03-12,5,0,1,0,0,False
2017-03-19,4,1,1,0,0,False
2017-03-26,7,1,1,0,0,False
2017-04-02,4,1,0,0,0,False
2017-04-09,9,0,0,0,0,False
2017-04-16,4,1,1,0,0,False
2017-04-23,5,1,1,0,0,False
2017-04-30,8,1,0,0,1,False
2017-05-07,6,1,1,0,1,False
2017-05-14,11,1,2,0,0,False
2017-05-21,24,3,3,0,0,False
2017-05-28,15,3,1,0,0,False
2017-06-04,15,2,3,0,1,False
2017-06-11,15,4,6,0,0,False
2017-06-18,10,2,5,0,0,False
2017-06-25,13,3,6,0,0,False
2017-07-02,10,3,1,0,0,False
2017-07-09,9,1,3,0,0,False
2017-07-16,17,2,2,0,0,False
2017-07-23,10,3,3,0,0,False
2017-07-30,15,1,1,0,0,False
2017-08-06,25,3,1,0,1,False
2017-08-13,33,3,1,0,0,False
2017-08-20,16,3,4,1,0,False
2017-08-27,24,5,2,0,1,False
2017-09-03,37,5,4,0,0,False
2017-09-10,59,2,7,0,0,False
2017-09-17,34,4,4,0,1,False
2017-09-24,19,3,1,0,0,False
2017-10-01,20,2,2,0,0,False
2017-10-08,28,2,1,0,1,False
2017-10-15,25,4,3,0,1,False
2017-10-22,30,10,3,0,1,False
2017-10-29,35,7,2,0,1,False
2017-11-05,37,6,1,0,0,False
2017-11-12,29,6,2,0,0,False
2017-11-19,36,5,3,0,1,False
2017-11-26,71,9,6,0,1,False
2017-12-03,81,12,5,1,0,False
2017-12-10,100,11,11,1,0,False
2017-12-17,92,14,3,1,1,False
2017-12-24,65,15,3,1,3,False
2017-12-31,50,24,4,1,1,False
2018-01-07,49,19,9,1,2,False
2018-01-14,62,13,4,0,1,False
2018-01-21,41,11,2,1,0,False
2018-01-28,33,10,2,1,1,False
2018-02-04,40,6,2,0,1,False
2018-02-11,31,14,4,1,2,False
2018-02-18,25,4,2,0,0,False
2018-02-25,20,9,1,0,0,False
2018-03-04,18,2,1,1,0,False
2018-03-11,23,1,1,1,0,False
2018-03-18,12,4,2,0,0,False
2018-03-25,16,7,1,0,1,False
2018-04-01,18,3,2,0,0,False
2018-04-08,12,4,2,0,1,False
2018-04-15,17,7,0,1,1,False
2018-04-22,13,7,1,0,0,False
2018-04-29,21,8,1,1,1,False
2018-05-06,12,7,2,0,0,False
2018-05-13,9,2,2,1,0,False
2018-05-20,13,6,1,1,0,False
2018-05-27,15,8,2,1,0,False
